team,rmsa attack,rmsa attack stdev,rmsa defend,rmsa defend stdev,rmsa,map_type,normalized rmsa
Florida Mayhem,-4.023549512735141,5.4690687242783635,-2.526049769493015,5.4690687242783635,-6.549599282228156,Control,-38.45349290202547
New York Excelsior,-2.9915568622411324,5.51110638071707,-4.20322989377211,5.511106380717071,-7.194786756013242,Control,-41.98199376771036
Vancouver Titans,-8.312070973421026,6.072576012147504,-1.8632268532468366,6.072576012147504,-10.175297826667862,Control,-58.28227286533492
London Spitfire,-7.069137022899032,5.91744728260494,-6.4317943737808685,5.917447282604939,-13.5009313966799,Control,-76.47001117013502
Los Angeles Valiant,-10.903822562044825,5.935368148132769,-6.899574564195024,5.935368148132769,-17.80339712623985,Control,-100.0
Philadelphia Fusion,7.126066498151071,6.936226806161334,6.732116994446913,6.936226806161334,13.858183492597984,Escort,100.0
Atlanta Reign,4.547131282804111,7.069256221009303,6.420206408678617,7.069256221009301,10.967337691482728,Escort,83.46711881476713
New York Excelsior,3.6565805793605666,7.174064684537708,6.965956632803064,7.174064684537709,10.622537212163632,Escort,81.49518888512692
Los Angeles Gladiators,5.937585285504093,6.996677375732398,2.9002409509712392,6.996677375732398,8.837826236475331,Escort,71.2883440580343
Chengdu Hunters,3.375904139651667,6.792478763444752,4.28135860489332,6.79247876344475,7.657262744544987,Escort,64.53664670490045
San Francisco Shock,3.152970492133467,7.148222909514698,2.376133654847757,7.148222909514698,5.529104146981224,Escort,52.36560900261979
Shanghai Dragons,0.39438592649778925,6.492891226402419,4.483012571739992,6.492891226402421,4.877398498237781,Escort,48.63847417783469
Houston Outlaws,4.06262197148939,7.0710230531560825,-0.7931123035875316,7.0710230531560825,3.2695096679018585,Escort,39.44288339926345
Florida Mayhem,-1.4802287843469175,7.049776666401326,4.1528948513148,7.0497766664013275,2.6726660669678823,Escort,36.0295071698564
Boston Uprising,1.2143495997955125,7.230166658587751,0.6481397370173209,7.230166658587749,1.8624893368128332,Escort,31.396068882166883
Dallas Fuel,3.8618453472485177,6.408825772703718,-2.102604324841869,6.408825772703718,1.7592410224066488,Escort,30.805586984448773
Paris Eternal,2.183601171328625,7.063580797197422,-0.7810429697901492,7.063580797197423,1.4025582015384757,Escort,28.76570139250465
Seoul Dynasty,-0.8364124632327744,7.168031275817142,1.563505339112433,7.168031275817142,0.7270928758796585,Escort,24.902683873703204
Hangzhou Spark,-4.83701049908347,7.162664297812802,-0.715400053679001,7.162664297812801,-5.5524105527624705,Escort,-11.010087415568194
Toronto Defiant,-2.7815573674768217,7.410672875285463,-3.996508687604819,7.410672875285461,-6.7780660550816405,Escort,-18.019668067034377
Guangzhou Charge,-3.455863310396751,7.521658636314188,-4.073526064122062,7.521658636314189,-7.5293893745188125,Escort,-22.31652096979294
Washington Justice,-5.249262795045509,7.062854436343146,-3.7287723142027267,7.0628544363431445,-8.978035109248236,Escort,-30.601393100480845
London Spitfire,-3.860386364235753,7.408362998865017,-5.443906982356034,7.408362998865017,-9.304293346591788,Escort,-32.46727908845831
Vancouver Titans,-8.184590322369594,7.416507976485368,-6.60374066996716,7.416507976485368,-14.788330992336753,Escort,-63.83074467955534
Los Angeles Valiant,-8.827730387777208,7.5274996865378005,-12.284951375674119,7.5274996865378005,-21.112681763451327,Escort,-100.0
Los Angeles Gladiators,10.680595342410552,9.591796112020301,9.382627946952136,9.591796112020303,20.06322328936269,Hybrid,100.0
Atlanta Reign,8.775060019850146,8.856990465916775,7.488386830960161,8.856990465916775,16.263446850810308,Hybrid,86.62189622514987
Chengdu Hunters,1.897412497101137,9.012808305906306,11.784629419637575,9.012808305906308,13.682041916738712,Hybrid,77.53338703220463
Florida Mayhem,10.38981896488109,9.27690485794205,1.1706208916236527,9.27690485794205,11.560439856504743,Hybrid,70.063733753982
Dallas Fuel,5.995747739568753,8.197756161342891,3.2738885288560504,8.197756161342891,9.269636268424803,Hybrid,61.998362376289066
Hangzhou Spark,12.422829100883124,9.479566042588301,-3.35718611712993,9.4795660425883,9.065642983753193,Hybrid,61.28015082467759
Shanghai Dragons,-0.025813985000929643,8.20704868873933,9.054548517482827,8.20704868873933,9.028734532481897,Hybrid,61.150204997795086
Seoul Dynasty,3.281436795872714,9.37559113567517,5.571318268307727,9.375591135675172,8.85275506418044,Hybrid,60.53062339154756
Houston Outlaws,4.780761606434451,9.723806366068892,1.3275494459752044,9.723806366068892,6.108311052409656,Hybrid,50.868092611783226
