team,league_points,wins,losses,map_differential,maps_won,maps_lost,opponent_points,opponent_differential,sim_number,rank
Shanghai Dragons,23,12,4,19,38,19,123,-21,5354,1
Seoul Dynasty,13,12,4,18,40,22,121,-36,5354,2
Chengdu Hunters,13,11,5,18,38,20,116,-67,5354,3
Philadelphia Fusion,10,10,6,14,37,23,126,-14,5354,4
Hangzhou Spark,7,7,9,-1,30,31,131,2,5354,5
New York Excelsior,7,7,9,-4,28,32,124,-23,5354,6
Guangzhou Charge,5,5,11,-19,19,38,137,55,5354,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,5354,8
Shanghai Dragons,20,12,4,20,38,18,124,-18,5355,1
Chengdu Hunters,13,11,5,17,38,21,116,-69,5355,2
Seoul Dynasty,12,12,4,19,40,21,120,-40,5355,3
Philadelphia Fusion,11,10,6,11,36,25,126,-7,5355,4
Hangzhou Spark,8,8,8,3,33,30,128,-8,5355,5
New York Excelsior,7,7,9,-2,30,32,124,-31,5355,6
Guangzhou Charge,4,4,12,-22,17,39,140,66,5355,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,5355,8
Shanghai Dragons,19,11,5,17,36,19,128,-4,5356,1
Seoul Dynasty,15,13,3,22,41,19,117,-52,5356,2
Chengdu Hunters,12,10,6,14,37,23,118,-60,5356,3
Philadelphia Fusion,10,10,6,13,36,23,125,-16,5356,4
Hangzhou Spark,9,9,7,8,35,27,125,-24,5356,5
New York Excelsior,7,7,9,-4,28,32,124,-24,5356,6
Guangzhou Charge,4,4,12,-25,15,40,142,80,5356,7
Los Angeles Valiant,0,0,16,-45,3,48,145,100,5356,8
Shanghai Dragons,22,12,4,22,38,16,123,-26,5357,1
Philadelphia Fusion,11,11,5,15,38,23,123,-19,5357,2
Seoul Dynasty,11,11,5,14,37,23,123,-26,5357,3
Chengdu Hunters,11,9,7,9,34,25,121,-49,5357,4
Hangzhou Spark,8,8,8,4,32,28,129,-6,5357,5
New York Excelsior,8,8,8,2,31,29,123,-35,5357,6
Guangzhou Charge,5,5,11,-20,18,38,137,58,5357,7
Los Angeles Valiant,0,0,16,-46,2,48,145,103,5357,8
Shanghai Dragons,20,12,4,20,38,18,123,-20,5358,1
Chengdu Hunters,16,11,5,17,38,21,117,-63,5358,2
Seoul Dynasty,12,12,4,19,40,21,120,-43,5358,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,5358,4
Hangzhou Spark,7,7,9,1,32,31,130,-7,5358,5
New York Excelsior,7,7,9,-3,29,32,125,-23,5358,6
Guangzhou Charge,4,4,12,-25,16,41,139,70,5358,7
Los Angeles Valiant,1,1,15,-41,5,46,144,96,5358,8
Shanghai Dragons,20,12,4,19,38,19,124,-15,5359,1
Chengdu Hunters,14,10,6,12,36,24,119,-51,5359,2
Philadelphia Fusion,12,11,5,17,38,21,123,-25,5359,3
Seoul Dynasty,11,11,5,14,37,23,122,-33,5359,4
Hangzhou Spark,9,9,7,9,35,26,126,-23,5359,5
New York Excelsior,7,7,9,-3,29,32,125,-21,5359,6
Guangzhou Charge,4,4,12,-24,17,41,140,71,5359,7
Los Angeles Valiant,0,0,16,-44,4,48,145,97,5359,8
Shanghai Dragons,23,12,4,22,38,16,124,-21,5360,1
Chengdu Hunters,13,10,6,11,35,24,119,-50,5360,2
Philadelphia Fusion,11,11,5,16,38,22,123,-25,5360,3
Seoul Dynasty,11,11,5,13,36,23,122,-28,5360,4
Hangzhou Spark,9,9,7,10,35,25,126,-22,5360,5
New York Excelsior,7,7,9,-4,28,32,125,-20,5360,6
Guangzhou Charge,4,4,12,-24,17,41,140,71,5360,7
Los Angeles Valiant,0,0,16,-44,4,48,145,95,5360,8
Shanghai Dragons,20,12,4,20,38,18,123,-21,5361,1
Seoul Dynasty,13,12,4,18,40,22,121,-35,5361,2
Chengdu Hunters,13,11,5,16,38,22,115,-69,5361,3
Philadelphia Fusion,9,9,7,9,35,26,129,-1,5361,4
New York Excelsior,8,8,8,1,31,30,121,-39,5361,5
Hangzhou Spark,7,7,9,1,32,31,131,-1,5361,6
Guangzhou Charge,5,5,11,-19,19,38,137,57,5361,7
Los Angeles Valiant,0,0,16,-46,2,48,147,109,5361,8
Shanghai Dragons,22,12,4,21,38,17,123,-23,5362,1
Chengdu Hunters,13,11,5,16,38,22,116,-65,5362,2
Seoul Dynasty,11,11,5,14,37,23,122,-30,5362,3
Philadelphia Fusion,11,10,6,13,37,24,127,-10,5362,4
Hangzhou Spark,8,8,8,5,34,29,128,-12,5362,5
New York Excelsior,8,8,8,0,31,31,122,-33,5362,6
Guangzhou Charge,4,4,12,-23,16,39,139,65,5362,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,5362,8
Shanghai Dragons,23,12,4,22,38,16,124,-23,5363,1
Seoul Dynasty,13,12,4,16,38,22,121,-29,5363,2
Chengdu Hunters,11,9,7,6,33,27,120,-45,5363,3
Philadelphia Fusion,10,10,6,12,37,25,125,-15,5363,4
Hangzhou Spark,8,8,8,5,34,29,129,-7,5363,5
New York Excelsior,8,8,8,3,32,29,122,-39,5363,6
Guangzhou Charge,5,5,11,-19,19,38,138,59,5363,7
Los Angeles Valiant,0,0,16,-45,3,48,145,99,5363,8
Shanghai Dragons,23,12,4,21,38,17,123,-24,5364,1
Seoul Dynasty,13,12,4,18,39,21,121,-32,5364,2
Chengdu Hunters,13,11,5,16,38,22,115,-70,5364,3
Philadelphia Fusion,9,9,7,8,34,26,129,0,5364,4
New York Excelsior,8,8,8,0,30,30,121,-38,5364,5
Hangzhou Spark,7,7,9,0,31,31,131,4,5364,6
Guangzhou Charge,5,5,11,-17,20,37,137,52,5364,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,5364,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,5365,1
Chengdu Hunters,16,11,5,16,38,22,116,-64,5365,2
Seoul Dynasty,12,12,4,17,39,22,120,-38,5365,3
Philadelphia Fusion,10,10,6,12,37,25,126,-9,5365,4
Hangzhou Spark,8,8,8,4,32,28,128,-12,5365,5
New York Excelsior,7,7,9,-1,31,32,124,-30,5365,6
Guangzhou Charge,4,4,12,-25,16,41,140,71,5365,7
Los Angeles Valiant,0,0,16,-44,4,48,146,103,5365,8
Shanghai Dragons,23,12,4,21,38,17,124,-19,5366,1
Seoul Dynasty,13,12,4,18,39,21,120,-39,5366,2
Chengdu Hunters,12,10,6,13,37,24,117,-64,5366,3
Philadelphia Fusion,9,9,7,7,33,26,129,4,5366,4
New York Excelsior,9,9,7,5,33,28,119,-48,5366,5
Hangzhou Spark,8,8,8,5,33,28,128,-13,5366,6
Guangzhou Charge,4,4,12,-24,16,40,140,71,5366,7
Los Angeles Valiant,0,0,16,-45,3,48,147,108,5366,8
Shanghai Dragons,19,11,5,18,37,19,126,-14,5367,1
Seoul Dynasty,13,12,4,17,39,22,119,-41,5367,2
Chengdu Hunters,13,11,5,16,38,22,117,-60,5367,3
Philadelphia Fusion,11,11,5,16,38,22,124,-19,5367,4
Hangzhou Spark,8,8,8,5,34,29,127,-17,5367,5
New York Excelsior,7,7,9,-3,29,32,125,-22,5367,6
Guangzhou Charge,4,4,12,-25,16,41,140,72,5367,7
Los Angeles Valiant,0,0,16,-44,4,48,146,101,5367,8
Shanghai Dragons,20,12,4,20,38,18,124,-19,5368,1
Seoul Dynasty,13,12,4,18,40,22,120,-39,5368,2
Chengdu Hunters,13,11,5,16,38,22,116,-65,5368,3
Philadelphia Fusion,10,10,6,12,37,25,126,-9,5368,4
Hangzhou Spark,8,8,8,3,32,29,128,-9,5368,5
New York Excelsior,7,7,9,-1,31,32,124,-31,5368,6
Guangzhou Charge,4,4,12,-23,16,39,140,67,5368,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,5368,8
Shanghai Dragons,20,12,4,20,38,18,124,-18,5369,1
Chengdu Hunters,14,11,5,19,38,19,116,-73,5369,2
Seoul Dynasty,12,12,4,19,39,20,120,-40,5369,3
Philadelphia Fusion,10,10,6,11,35,24,126,-7,5369,4
Hangzhou Spark,8,8,8,3,32,29,128,-8,5369,5
New York Excelsior,7,7,9,-4,28,32,124,-27,5369,6
Guangzhou Charge,4,4,12,-22,17,39,140,66,5369,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,5369,8
Shanghai Dragons,20,12,4,19,38,19,124,-16,5370,1
Chengdu Hunters,15,11,5,16,38,22,116,-66,5370,2
Seoul Dynasty,12,12,4,17,39,22,120,-37,5370,3
Philadelphia Fusion,11,10,6,12,37,25,126,-9,5370,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,5370,5
New York Excelsior,7,7,9,-1,31,32,124,-32,5370,6
Guangzhou Charge,4,4,12,-22,17,39,140,66,5370,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,5370,8
Shanghai Dragons,20,12,4,22,38,16,124,-24,5371,1
Chengdu Hunters,14,11,5,16,38,22,116,-62,5371,2
Seoul Dynasty,12,12,4,16,38,22,120,-34,5371,3
Philadelphia Fusion,10,10,6,14,37,23,126,-16,5371,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,5371,5
New York Excelsior,7,7,9,-4,28,32,124,-22,5371,6
Guangzhou Charge,4,4,12,-24,17,41,140,68,5371,7
Los Angeles Valiant,0,0,16,-44,4,48,146,100,5371,8
Shanghai Dragons,20,12,4,21,38,17,123,-23,5372,1
Chengdu Hunters,16,11,5,18,38,20,116,-68,5372,2
Seoul Dynasty,11,11,5,14,37,23,122,-32,5372,3
Philadelphia Fusion,10,10,6,13,37,24,127,-9,5372,4
Hangzhou Spark,8,8,8,5,33,28,128,-14,5372,5
New York Excelsior,8,8,8,-1,30,31,122,-30,5372,6
Guangzhou Charge,4,4,12,-25,15,40,139,69,5372,7
Los Angeles Valiant,0,0,16,-45,3,48,147,107,5372,8
Shanghai Dragons,23,12,4,22,38,16,123,-28,5373,1
Chengdu Hunters,13,11,5,17,38,21,117,-63,5373,2
Philadelphia Fusion,11,11,5,17,38,21,124,-21,5373,3
Seoul Dynasty,11,11,5,13,36,23,122,-26,5373,4
Hangzhou Spark,8,8,8,3,33,30,128,-6,5373,5
New York Excelsior,7,7,9,-4,28,32,125,-21,5373,6
Guangzhou Charge,4,4,12,-22,17,39,139,60,5373,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,5373,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,5374,1
Chengdu Hunters,13,10,6,13,36,23,117,-64,5374,2
Seoul Dynasty,12,12,4,17,38,21,120,-35,5374,3
Philadelphia Fusion,9,9,7,8,34,26,129,2,5374,4
New York Excelsior,9,9,7,5,33,28,119,-48,5374,5
Hangzhou Spark,8,8,8,4,33,29,128,-9,5374,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,5374,7
Los Angeles Valiant,0,0,16,-46,2,48,147,110,5374,8
Shanghai Dragons,22,12,4,21,38,17,124,-21,5375,1
Chengdu Hunters,13,11,5,18,38,20,116,-69,5375,2
Seoul Dynasty,12,12,4,18,39,21,120,-38,5375,3
Philadelphia Fusion,10,10,6,13,36,23,126,-12,5375,4
Hangzhou Spark,8,8,8,3,32,29,128,-8,5375,5
New York Excelsior,7,7,9,-4,28,32,124,-25,5375,6
Guangzhou Charge,4,4,12,-23,16,39,140,67,5375,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,5375,8
Shanghai Dragons,23,12,4,22,38,16,124,-21,5376,1
Chengdu Hunters,13,11,5,16,38,22,116,-65,5376,2
Seoul Dynasty,12,12,4,17,38,21,120,-36,5376,3
Philadelphia Fusion,10,10,6,13,36,23,126,-14,5376,4
Hangzhou Spark,8,8,8,6,34,28,128,-14,5376,5
New York Excelsior,7,7,9,-4,28,32,124,-25,5376,6
Guangzhou Charge,4,4,12,-24,15,39,140,71,5376,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,5376,8
Shanghai Dragons,22,12,4,21,38,17,123,-24,5377,1
Chengdu Hunters,13,11,5,19,38,19,116,-71,5377,2
Seoul Dynasty,12,12,4,18,39,21,121,-36,5377,3
Philadelphia Fusion,10,10,6,12,36,24,126,-9,5377,4
Hangzhou Spark,7,7,9,0,31,31,131,0,5377,5
New York Excelsior,7,7,9,-4,28,32,124,-25,5377,6
Guangzhou Charge,5,5,11,-21,18,39,137,60,5377,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,5377,8
Shanghai Dragons,19,11,5,18,37,19,127,-13,5378,1
Chengdu Hunters,14,11,5,18,38,20,115,-72,5378,2
Seoul Dynasty,13,13,3,20,41,21,117,-45,5378,3
Philadelphia Fusion,9,9,7,9,35,26,129,0,5378,4
Hangzhou Spark,8,8,8,3,32,29,127,-11,5378,5
New York Excelsior,8,8,8,0,30,30,121,-36,5378,6
Guangzhou Charge,4,4,12,-23,17,40,141,69,5378,7
Los Angeles Valiant,0,0,16,-45,3,48,147,108,5378,8
Shanghai Dragons,19,11,5,17,36,19,127,-8,5379,1
Seoul Dynasty,15,13,3,22,41,19,117,-49,5379,2
Philadelphia Fusion,13,10,6,12,36,24,126,-11,5379,3
Chengdu Hunters,12,10,6,11,35,24,118,-56,5379,4
Hangzhou Spark,8,8,8,4,32,28,127,-13,5379,5
New York Excelsior,8,8,8,2,31,29,122,-38,5379,6
Guangzhou Charge,4,4,12,-22,17,39,141,70,5379,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,5379,8
Shanghai Dragons,23,12,4,21,38,17,124,-20,5380,1
Chengdu Hunters,13,11,5,16,38,22,116,-64,5380,2
Seoul Dynasty,12,12,4,19,39,20,120,-40,5380,3
Philadelphia Fusion,10,10,6,12,35,23,126,-12,5380,4
Hangzhou Spark,8,8,8,3,33,30,128,-8,5380,5
New York Excelsior,7,7,9,-4,28,32,124,-24,5380,6
Guangzhou Charge,4,4,12,-23,18,41,140,68,5380,7
Los Angeles Valiant,0,0,16,-44,4,48,146,100,5380,8
Shanghai Dragons,23,12,4,22,38,16,124,-24,5381,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,5381,2
Seoul Dynasty,12,12,4,16,38,22,120,-32,5381,3
Philadelphia Fusion,10,10,6,12,37,25,126,-10,5381,4
Hangzhou Spark,8,8,8,4,33,29,128,-8,5381,5
New York Excelsior,7,7,9,-3,29,32,124,-28,5381,6
Guangzhou Charge,4,4,12,-22,17,39,140,64,5381,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,5381,8
Shanghai Dragons,20,12,4,21,38,17,123,-23,5382,1
Seoul Dynasty,14,12,4,17,39,22,121,-33,5382,2
Chengdu Hunters,13,11,5,17,38,21,115,-70,5382,3
Philadelphia Fusion,9,9,7,10,36,26,129,-4,5382,4
New York Excelsior,8,8,8,-1,30,31,121,-34,5382,5
Hangzhou Spark,7,7,9,2,33,31,131,-3,5382,6
Guangzhou Charge,5,5,11,-20,18,38,137,59,5382,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,5382,8
Shanghai Dragons,23,12,4,21,38,17,124,-20,5383,1
Chengdu Hunters,13,11,5,16,38,22,115,-71,5383,2
Seoul Dynasty,12,12,4,17,38,21,120,-36,5383,3
Philadelphia Fusion,9,9,7,7,33,26,129,5,5383,4
Hangzhou Spark,8,8,8,5,33,28,128,-12,5383,5
New York Excelsior,8,8,8,3,32,29,121,-45,5383,6
Guangzhou Charge,4,4,12,-23,16,39,140,68,5383,7
Los Angeles Valiant,0,0,16,-46,2,48,147,111,5383,8
Shanghai Dragons,21,12,4,21,38,17,125,-19,5384,1
Seoul Dynasty,12,12,4,17,38,21,120,-34,5384,2
Chengdu Hunters,12,10,6,15,37,22,118,-65,5384,3
Philadelphia Fusion,10,10,6,11,36,25,125,-10,5384,4
Hangzhou Spark,9,9,7,6,35,29,126,-12,5384,5
New York Excelsior,7,7,9,-3,29,32,124,-29,5384,6
Guangzhou Charge,4,4,12,-21,18,39,141,65,5384,7
Los Angeles Valiant,0,0,16,-46,2,48,145,104,5384,8
Shanghai Dragons,22,12,4,20,38,18,122,-25,5385,1
Chengdu Hunters,14,11,5,15,38,23,117,-60,5385,2
Philadelphia Fusion,11,11,5,16,38,22,124,-20,5385,3
Seoul Dynasty,11,11,5,13,36,23,123,-23,5385,4
Hangzhou Spark,7,7,9,2,33,31,131,-1,5385,5
New York Excelsior,7,7,9,-3,29,32,125,-24,5385,6
Guangzhou Charge,5,5,11,-17,21,38,136,49,5385,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,5385,8
Shanghai Dragons,20,12,4,20,38,18,124,-16,5386,1
Seoul Dynasty,13,12,4,19,40,21,120,-44,5386,2
Chengdu Hunters,13,11,5,16,38,22,116,-64,5386,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,5386,4
Hangzhou Spark,8,8,8,5,33,28,128,-16,5386,5
New York Excelsior,7,7,9,-2,30,32,124,-28,5386,6
Guangzhou Charge,4,4,12,-26,15,41,140,76,5386,7
Los Angeles Valiant,0,0,16,-44,4,48,146,102,5386,8
Shanghai Dragons,20,12,4,21,38,17,124,-18,5387,1
Chengdu Hunters,14,10,6,13,37,24,118,-60,5387,2
Seoul Dynasty,12,12,4,18,39,21,120,-39,5387,3
Philadelphia Fusion,10,10,6,12,36,24,126,-11,5387,4
Hangzhou Spark,8,8,8,6,34,28,128,-15,5387,5
New York Excelsior,8,8,8,0,31,31,122,-34,5387,6
Guangzhou Charge,4,4,12,-24,15,39,140,72,5387,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,5387,8
Shanghai Dragons,20,12,4,21,38,17,125,-17,5388,1
Seoul Dynasty,13,12,4,17,39,22,120,-37,5388,2
Chengdu Hunters,12,10,6,14,37,23,118,-62,5388,3
Philadelphia Fusion,10,10,6,12,37,25,125,-12,5388,4
Hangzhou Spark,9,9,7,8,35,27,126,-19,5388,5
New York Excelsior,7,7,9,-2,30,32,124,-30,5388,6
Guangzhou Charge,4,4,12,-24,15,39,141,73,5388,7
Los Angeles Valiant,0,0,16,-46,2,48,145,104,5388,8
Shanghai Dragons,22,12,4,21,38,17,123,-24,5389,1
Chengdu Hunters,13,11,5,16,38,22,116,-67,5389,2
Seoul Dynasty,11,11,5,15,38,23,122,-31,5389,3
Philadelphia Fusion,11,10,6,11,36,25,127,-4,5389,4
Hangzhou Spark,8,8,8,3,32,29,128,-7,5389,5
New York Excelsior,8,8,8,2,32,30,122,-39,5389,6
Guangzhou Charge,4,4,12,-22,17,39,139,62,5389,7
Los Angeles Valiant,0,0,16,-46,2,48,147,110,5389,8
Shanghai Dragons,21,12,4,21,38,17,124,-19,5390,1
Seoul Dynasty,14,12,4,18,39,21,120,-40,5390,2
Chengdu Hunters,12,10,6,14,37,23,119,-58,5390,3
Philadelphia Fusion,10,10,6,11,36,25,125,-11,5390,4
Hangzhou Spark,8,8,8,5,33,28,128,-14,5390,5
New York Excelsior,7,7,9,-3,29,32,125,-24,5390,6
Guangzhou Charge,4,4,12,-25,16,41,140,73,5390,7
Los Angeles Valiant,1,1,15,-41,5,46,143,93,5390,8
Shanghai Dragons,20,12,4,21,38,17,124,-22,5391,1
Chengdu Hunters,14,11,5,17,38,21,116,-67,5391,2
Seoul Dynasty,12,12,4,17,39,22,120,-36,5391,3
Philadelphia Fusion,10,10,6,12,37,25,126,-9,5391,4
Hangzhou Spark,8,8,8,3,33,30,128,-8,5391,5
New York Excelsior,7,7,9,-2,30,32,124,-29,5391,6
Guangzhou Charge,4,4,12,-23,17,40,140,66,5391,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,5391,8
Shanghai Dragons,20,12,4,20,38,18,124,-19,5392,1
Chengdu Hunters,13,10,6,12,37,25,118,-57,5392,2
Seoul Dynasty,12,12,4,16,38,22,121,-29,5392,3
Philadelphia Fusion,10,10,6,13,37,24,125,-17,5392,4
Hangzhou Spark,8,8,8,5,34,29,129,-7,5392,5
New York Excelsior,7,7,9,-3,29,32,124,-27,5392,6
Guangzhou Charge,5,5,11,-17,21,38,138,55,5392,7
Los Angeles Valiant,0,0,16,-46,2,48,145,101,5392,8
Shanghai Dragons,20,12,4,22,38,16,123,-27,5393,1
Seoul Dynasty,13,12,4,16,38,22,121,-31,5393,2
Chengdu Hunters,12,10,6,12,35,23,118,-57,5393,3
Philadelphia Fusion,10,10,6,12,37,25,126,-9,5393,4
New York Excelsior,8,8,8,3,32,29,122,-39,5393,5
Hangzhou Spark,7,7,9,1,32,31,131,-1,5393,6
Guangzhou Charge,5,5,11,-21,18,39,137,59,5393,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,5393,8
Shanghai Dragons,20,12,4,21,38,17,124,-20,5394,1
Chengdu Hunters,14,10,6,13,35,22,118,-59,5394,2
Seoul Dynasty,11,11,5,14,37,23,122,-29,5394,3
Philadelphia Fusion,10,10,6,13,37,24,126,-14,5394,4
Hangzhou Spark,9,9,7,8,35,27,126,-17,5394,5
New York Excelsior,8,8,8,-1,30,31,122,-31,5394,6
Guangzhou Charge,4,4,12,-22,17,39,140,66,5394,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,5394,8
Shanghai Dragons,23,12,4,22,38,16,123,-28,5395,1
Seoul Dynasty,13,12,4,16,38,22,121,-30,5395,2
Chengdu Hunters,13,11,5,18,38,20,116,-68,5395,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,5395,4
Hangzhou Spark,7,7,9,0,31,31,131,2,5395,5
New York Excelsior,7,7,9,-4,28,32,124,-24,5395,6
Guangzhou Charge,5,5,11,-20,18,38,137,56,5395,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,5395,8
Shanghai Dragons,22,12,4,21,38,17,123,-24,5396,1
Chengdu Hunters,13,11,5,16,38,22,116,-65,5396,2
Seoul Dynasty,12,12,4,17,38,21,121,-31,5396,3
Philadelphia Fusion,10,10,6,13,36,23,126,-14,5396,4
Hangzhou Spark,7,7,9,1,32,31,131,1,5396,5
New York Excelsior,7,7,9,-4,28,32,124,-25,5396,6
Guangzhou Charge,5,5,11,-18,19,37,137,54,5396,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,5396,8
Shanghai Dragons,20,12,4,19,38,19,124,-19,5397,1
Chengdu Hunters,15,11,5,18,38,20,116,-70,5397,2
Seoul Dynasty,12,12,4,17,39,22,120,-35,5397,3
Philadelphia Fusion,10,10,6,12,37,25,126,-8,5397,4
Hangzhou Spark,8,8,8,2,32,30,128,-5,5397,5
New York Excelsior,7,7,9,-2,30,32,124,-30,5397,6
Guangzhou Charge,4,4,12,-20,19,39,140,59,5397,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,5397,8
Shanghai Dragons,23,12,4,21,38,17,123,-23,5398,1
Chengdu Hunters,13,11,5,17,38,21,117,-64,5398,2
Philadelphia Fusion,11,11,5,16,38,22,124,-18,5398,3
Seoul Dynasty,11,11,5,14,37,23,122,-31,5398,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,5398,5
New York Excelsior,7,7,9,-3,29,32,125,-24,5398,6
Guangzhou Charge,4,4,12,-24,15,39,139,67,5398,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,5398,8
Shanghai Dragons,23,12,4,21,38,17,123,-24,5399,1
Chengdu Hunters,13,11,5,18,38,20,117,-65,5399,2
Philadelphia Fusion,11,11,5,17,38,21,124,-20,5399,3
Seoul Dynasty,11,11,5,14,37,23,122,-31,5399,4
Hangzhou Spark,8,8,8,4,32,28,128,-11,5399,5
New York Excelsior,7,7,9,-4,28,32,125,-21,5399,6
Guangzhou Charge,4,4,12,-24,15,39,139,66,5399,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,5399,8
Shanghai Dragons,23,12,4,20,38,18,123,-22,5400,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,5400,2
Seoul Dynasty,12,12,4,17,39,22,121,-32,5400,3
Philadelphia Fusion,10,10,6,12,37,25,126,-10,5400,4
Hangzhou Spark,7,7,9,1,32,31,131,0,5400,5
New York Excelsior,7,7,9,-3,29,32,124,-28,5400,6
Guangzhou Charge,5,5,11,-18,19,37,137,54,5400,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,5400,8
Shanghai Dragons,21,12,4,22,38,16,124,-23,5401,1
Chengdu Hunters,13,11,5,16,38,22,116,-64,5401,2
Seoul Dynasty,12,12,4,16,38,22,120,-32,5401,3
Philadelphia Fusion,10,10,6,14,37,23,126,-17,5401,4
Hangzhou Spark,8,8,8,5,34,29,128,-10,5401,5
New York Excelsior,7,7,9,-5,27,32,124,-22,5401,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,5401,7
Los Angeles Valiant,0,0,16,-46,2,48,146,103,5401,8
Shanghai Dragons,20,12,4,22,38,16,123,-28,5402,1
Chengdu Hunters,14,11,5,17,38,21,116,-67,5402,2
Seoul Dynasty,12,12,4,16,38,22,121,-30,5402,3
Philadelphia Fusion,10,10,6,13,37,24,126,-11,5402,4
Hangzhou Spark,7,7,9,0,31,31,131,2,5402,5
New York Excelsior,7,7,9,-2,30,32,124,-29,5402,6
Guangzhou Charge,5,5,11,-20,18,38,137,56,5402,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,5402,8
Shanghai Dragons,23,12,4,22,38,16,123,-27,5403,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,5403,2
Seoul Dynasty,12,12,4,16,38,22,121,-29,5403,3
Philadelphia Fusion,11,10,6,12,37,25,126,-10,5403,4
Hangzhou Spark,7,7,9,1,32,31,131,1,5403,5
New York Excelsior,7,7,9,-3,29,32,124,-28,5403,6
Guangzhou Charge,5,5,11,-19,18,37,137,55,5403,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,5403,8
Shanghai Dragons,21,12,4,20,38,18,124,-18,5404,1
Chengdu Hunters,13,11,5,18,38,20,116,-69,5404,2
Seoul Dynasty,12,12,4,17,39,22,120,-37,5404,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,5404,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,5404,5
New York Excelsior,7,7,9,-4,28,32,124,-25,5404,6
Guangzhou Charge,4,4,12,-23,16,39,140,68,5404,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,5404,8
Shanghai Dragons,23,12,4,21,38,17,123,-23,5405,1
Chengdu Hunters,13,11,5,19,38,19,117,-68,5405,2
Philadelphia Fusion,11,11,5,15,38,23,124,-15,5405,3
Seoul Dynasty,11,11,5,15,38,23,122,-34,5405,4
Hangzhou Spark,8,8,8,4,32,28,128,-12,5405,5
New York Excelsior,7,7,9,-4,28,32,125,-22,5405,6
Guangzhou Charge,4,4,12,-25,15,40,139,69,5405,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,5405,8
Shanghai Dragons,23,12,4,20,38,18,124,-20,5406,1
Chengdu Hunters,13,11,5,17,38,21,116,-67,5406,2
Seoul Dynasty,12,12,4,17,39,22,120,-35,5406,3
Philadelphia Fusion,11,10,6,13,37,24,126,-12,5406,4
Hangzhou Spark,8,8,8,3,33,30,128,-7,5406,5
New York Excelsior,7,7,9,-3,29,32,124,-27,5406,6
Guangzhou Charge,4,4,12,-21,18,39,140,62,5406,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,5406,8
Shanghai Dragons,23,12,4,22,38,16,124,-23,5407,1
Seoul Dynasty,13,12,4,18,38,20,120,-36,5407,2
Chengdu Hunters,13,11,5,17,38,21,116,-69,5407,3
Philadelphia Fusion,10,10,6,11,35,24,126,-8,5407,4
Hangzhou Spark,8,8,8,3,33,30,128,-6,5407,5
New York Excelsior,7,7,9,-3,29,32,124,-29,5407,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,5407,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,5407,8
Shanghai Dragons,20,12,4,20,38,18,124,-17,5408,1
Chengdu Hunters,15,11,5,16,38,22,115,-70,5408,2
Seoul Dynasty,13,12,4,19,39,20,120,-39,5408,3
