team,league_points,wins,losses,map_differential,maps_won,maps_lost,opponent_points,opponent_differential,sim_number,rank
Chengdu Hunters,13,10,6,12,36,24,119,-55,36,2
Philadelphia Fusion,11,11,5,15,38,23,124,-16,36,3
Seoul Dynasty,11,11,5,13,36,23,123,-24,36,4
New York Excelsior,8,8,8,2,32,30,123,-35,36,5
Hangzhou Spark,7,7,9,2,33,31,131,-2,36,6
Guangzhou Charge,5,5,11,-20,18,38,136,55,36,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,36,8
Shanghai Dragons,20,12,4,22,38,16,124,-23,37,1
Chengdu Hunters,15,11,5,18,38,20,115,-73,37,2
Seoul Dynasty,12,12,4,16,38,22,120,-34,37,3
Philadelphia Fusion,9,9,7,9,35,26,129,0,37,4
Hangzhou Spark,8,8,8,5,33,28,128,-12,37,5
New York Excelsior,8,8,8,0,30,30,121,-37,37,6
Guangzhou Charge,4,4,12,-24,15,39,140,69,37,7
Los Angeles Valiant,0,0,16,-46,2,48,147,110,37,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,38,1
Seoul Dynasty,13,12,4,17,39,22,121,-33,38,2
Chengdu Hunters,12,10,6,14,36,22,118,-59,38,3
Philadelphia Fusion,10,10,6,14,37,23,125,-19,38,4
Hangzhou Spark,8,8,8,4,33,29,129,-7,38,5
New York Excelsior,7,7,9,-5,27,32,124,-21,38,6
Guangzhou Charge,5,5,11,-20,18,38,138,61,38,7
Los Angeles Valiant,0,0,16,-45,3,48,145,99,38,8
Shanghai Dragons,22,12,4,22,38,16,125,-20,39,1
Seoul Dynasty,13,12,4,16,38,22,120,-32,39,2
Chengdu Hunters,12,10,6,13,36,23,118,-60,39,3
Philadelphia Fusion,10,10,6,12,37,25,125,-14,39,4
Hangzhou Spark,9,9,7,8,35,27,126,-16,39,5
New York Excelsior,7,7,9,-3,29,32,124,-28,39,6
Guangzhou Charge,4,4,12,-22,17,39,141,68,39,7
Los Angeles Valiant,0,0,16,-46,2,48,145,102,39,8
Shanghai Dragons,23,12,4,21,38,17,124,-22,40,1
Seoul Dynasty,13,12,4,18,39,21,121,-33,40,2
Chengdu Hunters,12,10,6,14,37,23,118,-60,40,3
Philadelphia Fusion,10,10,6,13,36,23,125,-17,40,4
Hangzhou Spark,8,8,8,2,32,30,129,-1,40,5
New York Excelsior,7,7,9,-5,27,32,124,-22,40,6
Guangzhou Charge,5,5,11,-18,18,36,138,56,40,7
Los Angeles Valiant,0,0,16,-45,3,48,145,99,40,8
Shanghai Dragons,20,12,4,22,38,16,124,-22,41,1
Chengdu Hunters,14,11,5,17,38,21,116,-68,41,2
Seoul Dynasty,12,12,4,18,38,20,120,-40,41,3
Philadelphia Fusion,10,10,6,10,35,25,126,-4,41,4
Hangzhou Spark,8,8,8,4,32,28,128,-12,41,5
New York Excelsior,7,7,9,-1,31,32,124,-32,41,6
Guangzhou Charge,4,4,12,-26,15,41,140,74,41,7
Los Angeles Valiant,0,0,16,-44,4,48,146,104,41,8
Shanghai Dragons,23,12,4,22,38,16,124,-24,42,1
Seoul Dynasty,13,12,4,17,38,21,120,-34,42,2
Chengdu Hunters,13,11,5,18,38,20,116,-70,42,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,42,4
Hangzhou Spark,8,8,8,3,32,29,128,-6,42,5
New York Excelsior,7,7,9,-4,28,32,124,-26,42,6
Guangzhou Charge,4,4,12,-22,17,39,140,64,42,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,42,8
Shanghai Dragons,23,12,4,22,38,16,125,-21,43,1
Seoul Dynasty,13,12,4,17,38,21,121,-30,43,2
Chengdu Hunters,11,9,7,10,36,26,119,-59,43,3
Philadelphia Fusion,9,9,7,7,33,26,127,-2,43,4
Hangzhou Spark,9,9,7,6,35,29,127,-8,43,5
New York Excelsior,8,8,8,2,31,29,121,-43,43,6
Guangzhou Charge,5,5,11,-18,20,38,139,59,43,7
Los Angeles Valiant,0,0,16,-46,2,48,145,104,43,8
Shanghai Dragons,20,12,4,22,38,16,125,-20,44,1
Chengdu Hunters,14,10,6,13,37,24,117,-62,44,2
Seoul Dynasty,12,12,4,16,38,22,120,-34,44,3
Philadelphia Fusion,9,9,7,10,36,26,128,-6,44,4
Hangzhou Spark,9,9,7,8,35,27,126,-18,44,5
New York Excelsior,8,8,8,1,32,31,121,-38,44,6
Guangzhou Charge,4,4,12,-24,15,39,141,72,44,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,44,8
Shanghai Dragons,20,12,4,20,38,18,124,-17,45,1
Chengdu Hunters,16,11,5,16,38,22,115,-71,45,2
Seoul Dynasty,13,12,4,18,39,21,120,-38,45,3
Philadelphia Fusion,9,9,7,7,33,26,129,4,45,4
Hangzhou Spark,8,8,8,5,34,29,128,-12,45,5
New York Excelsior,8,8,8,2,31,29,121,-43,45,6
Guangzhou Charge,4,4,12,-22,17,39,140,67,45,7
Los Angeles Valiant,0,0,16,-46,2,48,147,110,45,8
Shanghai Dragons,20,12,4,21,38,17,124,-18,46,1
Chengdu Hunters,14,11,5,16,38,22,116,-67,46,2
Seoul Dynasty,12,12,4,19,39,20,120,-40,46,3
Philadelphia Fusion,10,10,6,11,35,24,126,-9,46,4
Hangzhou Spark,8,8,8,5,33,28,128,-12,46,5
New York Excelsior,7,7,9,-3,29,32,124,-29,46,6
Guangzhou Charge,4,4,12,-23,16,39,140,70,46,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,46,8
Shanghai Dragons,19,11,5,17,37,20,126,-14,47,1
Chengdu Hunters,14,11,5,19,38,19,117,-67,47,2
Seoul Dynasty,12,12,4,17,39,22,119,-39,47,3
Philadelphia Fusion,11,11,5,17,38,21,124,-20,47,4
Hangzhou Spark,8,8,8,3,32,29,127,-11,47,5
New York Excelsior,7,7,9,-5,27,32,125,-19,47,6
Guangzhou Charge,4,4,12,-22,17,39,140,64,47,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,47,8
Shanghai Dragons,19,11,5,17,37,20,127,-7,48,1
Chengdu Hunters,15,11,5,15,38,23,116,-64,48,2
Seoul Dynasty,14,13,3,21,41,20,117,-47,48,3
Philadelphia Fusion,10,10,6,12,36,24,126,-12,48,4
Hangzhou Spark,8,8,8,6,34,28,127,-17,48,5
New York Excelsior,7,7,9,-3,29,32,124,-28,48,6
Guangzhou Charge,4,4,12,-22,17,39,141,71,48,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,48,8
Shanghai Dragons,19,11,5,18,37,19,126,-14,49,1
Seoul Dynasty,14,12,4,17,39,22,119,-39,49,2
Chengdu Hunters,13,11,5,16,38,22,116,-65,49,3
Philadelphia Fusion,11,10,6,13,37,24,127,-10,49,4
Hangzhou Spark,8,8,8,5,33,28,127,-15,49,5
New York Excelsior,8,8,8,0,31,31,122,-33,49,6
Guangzhou Charge,4,4,12,-23,16,39,140,68,49,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,49,8
Shanghai Dragons,22,12,4,21,38,17,123,-24,50,1
Chengdu Hunters,13,11,5,19,38,19,116,-71,50,2
Seoul Dynasty,12,12,4,18,39,21,121,-35,50,3
Philadelphia Fusion,10,10,6,13,36,23,126,-12,50,4
Hangzhou Spark,7,7,9,0,31,31,131,1,50,5
New York Excelsior,7,7,9,-5,27,32,124,-23,50,6
Guangzhou Charge,5,5,11,-20,18,38,137,58,50,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,50,8
Shanghai Dragons,22,12,4,22,38,16,123,-27,51,1
Seoul Dynasty,13,12,4,17,38,21,121,-31,51,2
Chengdu Hunters,13,11,5,17,38,21,115,-72,51,3
Philadelphia Fusion,9,9,7,8,34,26,129,2,51,4
New York Excelsior,8,8,8,1,31,30,121,-40,51,5
Hangzhou Spark,7,7,9,0,31,31,131,3,51,6
Guangzhou Charge,5,5,11,-19,19,38,137,55,51,7
Los Angeles Valiant,0,0,16,-46,2,48,147,110,51,8
Shanghai Dragons,23,12,4,22,38,16,125,-21,52,1
Seoul Dynasty,12,12,4,16,38,22,121,-28,52,2
Chengdu Hunters,11,9,7,10,35,25,120,-52,52,3
Philadelphia Fusion,10,10,6,14,37,23,124,-23,52,4
Hangzhou Spark,9,9,7,7,35,28,127,-10,52,5
New York Excelsior,7,7,9,-5,27,32,124,-22,52,6
Guangzhou Charge,5,5,11,-18,20,38,139,59,52,7
Los Angeles Valiant,0,0,16,-46,2,48,144,97,52,8
Shanghai Dragons,23,12,4,21,38,17,123,-25,53,1
Seoul Dynasty,13,12,4,17,38,21,121,-33,53,2
Chengdu Hunters,13,11,5,19,38,19,116,-71,53,3
Philadelphia Fusion,10,10,6,12,36,24,126,-9,53,4
Hangzhou Spark,7,7,9,0,31,31,131,1,53,5
New York Excelsior,7,7,9,-4,28,32,124,-25,53,6
Guangzhou Charge,5,5,11,-20,19,39,137,57,53,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,53,8
Shanghai Dragons,23,12,4,20,38,18,122,-26,54,1
Chengdu Hunters,14,11,5,15,38,23,117,-58,54,2
Philadelphia Fusion,11,11,5,18,38,20,124,-25,54,3
Seoul Dynasty,11,11,5,13,36,23,123,-23,54,4
Hangzhou Spark,7,7,9,1,32,31,131,1,54,5
New York Excelsior,7,7,9,-4,28,32,125,-20,54,6
Guangzhou Charge,5,5,11,-17,21,38,136,48,54,7
Los Angeles Valiant,0,0,16,-46,2,48,146,103,54,8
Shanghai Dragons,19,11,5,18,37,19,126,-15,55,1
Seoul Dynasty,14,13,3,22,41,19,118,-46,55,2
Chengdu Hunters,13,11,5,17,38,21,116,-68,55,3
Philadelphia Fusion,10,10,6,10,35,25,126,-5,55,4
Hangzhou Spark,7,7,9,-1,30,31,130,0,55,5
