team,rmsa,team dropped
Houston Outlaws,51.38,Atlanta Reign
Chengdu Hunters,49.58,Atlanta Reign
Seoul Dynasty,41.55,Atlanta Reign
Philadelphia Fusion,29.42,Atlanta Reign
Washington Justice,15.72,Atlanta Reign
Atlanta Reign,13.62,Atlanta Reign
Paris Eternal,8.9,Atlanta Reign
Boston Uprising,8.08,Atlanta Reign
New York Excelsior,0.06,Atlanta Reign
Florida Mayhem,-0.09,Atlanta Reign
Guangzhou Charge,-5.96,Atlanta Reign
Toronto Defiant,-10.31,Atlanta Reign
Hangzhou Spark,-12.24,Atlanta Reign
London Spitfire,-35.52,Atlanta Reign
Vancouver Titans,-51.69,Atlanta Reign
Los Angeles Valiant,-100.0,Atlanta Reign
Shanghai Dragons,74.39,Boston Uprising
Dallas Fuel,69.83,Boston Uprising
Los Angeles Gladiators,67.04,Boston Uprising
San Francisco Shock,60.44,Boston Uprising
Chengdu Hunters,56.54,Boston Uprising
Atlanta Reign,55.49,Boston Uprising
Houston Outlaws,53.23,Boston Uprising
Seoul Dynasty,45.06,Boston Uprising
Philadelphia Fusion,32.63,Boston Uprising
Washington Justice,17.11,Boston Uprising
Boston Uprising,15.51,Boston Uprising
Paris Eternal,6.18,Boston Uprising
New York Excelsior,1.86,Boston Uprising
Guangzhou Charge,-2.48,Boston Uprising
Florida Mayhem,-6.6,Boston Uprising
Hangzhou Spark,-9.28,Boston Uprising
Toronto Defiant,-10.61,Boston Uprising
London Spitfire,-47.06,Boston Uprising
Vancouver Titans,-69.15,Boston Uprising
Los Angeles Valiant,-100.0,Boston Uprising
Shanghai Dragons,80.35,Dallas Fuel
Los Angeles Gladiators,79.28,Dallas Fuel
San Francisco Shock,62.02,Dallas Fuel
Atlanta Reign,60.32,Dallas Fuel
Chengdu Hunters,58.78,Dallas Fuel
Houston Outlaws,57.28,Dallas Fuel
Seoul Dynasty,46.37,Dallas Fuel
Philadelphia Fusion,33.08,Dallas Fuel
Dallas Fuel,13.77,Dallas Fuel
Washington Justice,7.14,Dallas Fuel
New York Excelsior,2.31,Dallas Fuel
Boston Uprising,2.29,Dallas Fuel
Florida Mayhem,0.44,Dallas Fuel
Paris Eternal,-1.63,Dallas Fuel
Guangzhou Charge,-2.11,Dallas Fuel
Toronto Defiant,-7.63,Dallas Fuel
Hangzhou Spark,-9.12,Dallas Fuel
London Spitfire,-44.93,Dallas Fuel
Vancouver Titans,-62.68,Dallas Fuel
Los Angeles Valiant,-100.0,Dallas Fuel
Shanghai Dragons,77.18,Florida Mayhem
Los Angeles Gladiators,73.92,Florida Mayhem
Dallas Fuel,67.33,Florida Mayhem
Chengdu Hunters,61.11,Florida Mayhem
Atlanta Reign,59.92,Florida Mayhem
San Francisco Shock,56.33,Florida Mayhem
Seoul Dynasty,46.74,Florida Mayhem
Houston Outlaws,38.71,Florida Mayhem
Philadelphia Fusion,33.63,Florida Mayhem
Florida Mayhem,14.77,Florida Mayhem
Paris Eternal,4.15,Florida Mayhem
New York Excelsior,2.74,Florida Mayhem
Washington Justice,2.13,Florida Mayhem
Guangzhou Charge,-1.22,Florida Mayhem
Boston Uprising,-1.84,Florida Mayhem
Toronto Defiant,-6.5,Florida Mayhem
Hangzhou Spark,-8.18,Florida Mayhem
London Spitfire,-53.53,Florida Mayhem
Vancouver Titans,-71.96,Florida Mayhem
Los Angeles Valiant,-100.0,Florida Mayhem
Los Angeles Gladiators,68.8,Houston Outlaws
San Francisco Shock,67.26,Houston Outlaws
Shanghai Dragons,65.91,Houston Outlaws
Dallas Fuel,60.2,Houston Outlaws
Atlanta Reign,54.36,Houston Outlaws
Chengdu Hunters,51.83,Houston Outlaws
Seoul Dynasty,40.0,Houston Outlaws
Philadelphia Fusion,29.62,Houston Outlaws
Houston Outlaws,11.74,Houston Outlaws
Washington Justice,10.79,Houston Outlaws
Paris Eternal,5.61,Houston Outlaws
Florida Mayhem,3.3,Houston Outlaws
New York Excelsior,-0.02,Houston Outlaws
Guangzhou Charge,-5.59,Houston Outlaws
Boston Uprising,-5.84,Houston Outlaws
Toronto Defiant,-5.92,Houston Outlaws
Hangzhou Spark,-12.01,Houston Outlaws
London Spitfire,-41.18,Houston Outlaws
Vancouver Titans,-64.04,Houston Outlaws
Los Angeles Valiant,-100.0,Houston Outlaws
Los Angeles Gladiators,73.32,London Spitfire
Shanghai Dragons,72.79,London Spitfire
Dallas Fuel,66.02,London Spitfire
San Francisco Shock,57.01,London Spitfire
Chengdu Hunters,55.65,London Spitfire
Atlanta Reign,50.5,London Spitfire
Seoul Dynasty,44.1,London Spitfire
Houston Outlaws,38.08,London Spitfire
Philadelphia Fusion,31.38,London Spitfire
London Spitfire,14.67,London Spitfire
Washington Justice,4.04,London Spitfire
New York Excelsior,0.72,London Spitfire
Guangzhou Charge,-3.01,London Spitfire
Paris Eternal,-4.41,London Spitfire
Florida Mayhem,-5.85,London Spitfire
Boston Uprising,-7.51,London Spitfire
Hangzhou Spark,-10.0,London Spitfire
